val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.Ox.weV,val.Ox.cnc,val.Ox.aeV,val.Ox.weC,val.NO.weV,val.NO.cnc,val.NO.aeV,val.NO.weC,val.CO.weV,val.CO.cnc,val.CO.aeV,val.CO.weC,val.sht.hmd,val.sht.tmp,rec,tag
0.299567,-4.9,0.29663,-0.001271,0.399194,18.6,0.401881,0.00562,0.310755,79.9,0.312442,0.030755,0.512195,473.6,0.202316,0.135915,62.4,24,2018-09-03T00:09:40.076+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399194,18.8,0.401944,0.005685,0.310817,80,0.312442,0.030817,0.511883,472,0.202191,0.13546,62.4,24,2018-09-03T00:09:50.068+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399131,18.1,0.401881,0.005462,0.31088,80.2,0.312505,0.03088,0.51132,472,0.202691,0.135468,62.4,24,2018-09-03T00:10:00.080+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399006,18.4,0.401944,0.005545,0.310755,79.9,0.31238,0.030755,0.510945,471.9,0.203003,0.135449,62.4,24,2018-09-03T00:10:10.074+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399131,18.2,0.401881,0.00551,0.310755,79.9,0.31238,0.030755,0.512258,475.8,0.202816,0.136548,62.4,24,2018-09-03T00:10:20.068+00:00,scs-bgb-413
0.299755,-4.7,0.296692,-0.001199,0.399194,19,0.401944,0.005733,0.310692,79.7,0.31238,0.030692,0.512258,476.5,0.203003,0.136761,62.4,24,2018-09-03T00:10:30.068+00:00,scs-bgb-413
0.299755,-4.2,0.29663,-0.001084,0.399131,18.4,0.401944,0.005551,0.310755,79.9,0.312317,0.030755,0.512695,479,0.203253,0.137484,62.4,24,2018-09-03T00:10:40.068+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399006,17.7,0.401881,0.005337,0.311005,80.5,0.312505,0.031005,0.511945,472.5,0.202253,0.135594,62.4,24,2018-09-03T00:10:50.069+00:00,scs-bgb-413
0.299755,-4.2,0.29663,-0.001084,0.399131,18.4,0.401944,0.005551,0.310817,80,0.312442,0.030817,0.510633,464.4,0.201378,0.133284,62.4,24,2018-09-03T00:11:00.081+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399131,18.8,0.401944,0.00567,0.31063,79.6,0.312317,0.03063,0.510258,465.6,0.202003,0.133621,62.4,24,2018-09-03T00:11:10.077+00:00,scs-bgb-413
